"","Id","Avg_Day274","Avg_Day286","Avg_Day304"
"1",1131,6.4,34.3,1.7
"2",4853,7.2,0,3.2
"3",5361,0,48.4,4.5
"4",6968,4.2,36.8,3.1
"5",14069,11,48.4,6.6
"6",14301,10.2,48.4,4.65
"7",17814,8.6,57.7,7.8
"8",18169,8.8,15.8,8
"9",22168,7.1,29.4,11.4
"10",23072,4.5,15.9,5.6
"11",23278,7.8,22.7,0
"12",24661,8.7,70.2,8.5
"13",25349,12.5,34.5,0
"14",26069,14,70.8,13
"15",26157,8,24.5,7.4
"16",26539,15.8,55.9,12.8
"17",27953,7.7,48.5,10.4
"18",29629,9,60,12.7
"19",30168,6.4,50.85,9.3
"20",30308,8.8,71.2,0
"21",30766,7.6,39.7,10.4
"22",34095,6.6,100.35,9.1
"23",34508,8.7,7.6,6.7
"24",39518,7,199.1,12.6
"25",41832,4.8,33.5,10.3
"26",44333,8.3,12.3,3.6
"27",45463,13,6.2,0
"28",46432,5.9,8.8,7.65
"29",46903,6.5,10.4,7.8
"30",47623,5.3,8.6,8.65
"31",48771,0,0,0
"32",49293,6.9,15.95,7.95
"33",50936,0,9.7,9
"34",55906,5.5,5.8,6.9
