Model,MAE,MSE,RMSE,NSE,Bias,R2
CAT,2.5247262959976013,15.863787999405405,3.608245517317588,0.7143720689503442,0.25430511674799133,0.7874931968998355
GBM,2.5626534984387774,17.180794435306538,3.7839780888565855,0.6842926180235754,0.1949009930872497,0.7668824983124563
NN,,,,,,
CAT1,2.5208491032114897,16.628112060539053,3.70466675966625,0.7051205579318693,0.24185527707147264,0.7891039179794775
RF,,,,,,
NN_tune,3.4412863009873282,29.31297919161018,5.107434357818716,0.4308869990570874,0.3294910792101446,0.5888639002911212
XT,2.689633365410473,20.427363830425108,4.050378098765226,0.6198896147671406,0.4125250320374641,0.7582005367071928
KNNunif,4.321070397260582,53.29210339102395,6.96881383534879,-0.037087740384859826,0.37818555436655255,0.19055521011707643
KNNdist,4.306079142552082,53.10451120648432,6.9534769105155005,-0.03551624460730233,0.3859918714376615,0.19664034742848807
GMBcustom,2.4809438872501683,17.11670827879087,3.74054724350118,0.6874545707962214,0.2722113472120668,0.7781815978545616
