"","Model","MAE","MSE","RMSE","NSE","Bias","R2"
"1","GBM",2.56265349843878,17.1807944353065,3.78397808885659,0.684292618023575,0.19490099308725,0.766882498312456
"2","NN_tune",3.44128630098733,29.3129791916102,5.10743435781872,0.430886999057087,0.329491079210145,0.588863900291121
"3","KNNunif",4.32107039726058,53.292103391024,6.96881383534879,-0.0370877403848598,0.378185554366553,0.190555210117076
"4","KNNdist",4.30607914255208,53.1045112064843,6.9534769105155,-0.0355162446073023,0.385991871437662,0.196640347428488
"5","GMBcustom",2.48094388725017,17.1167082787909,3.74054724350118,0.687454570796221,0.272211347212067,0.778181597854562
"6","XT",2.68963336541047,20.4273638304251,4.05037809876523,0.619889614767141,0.412525032037464,0.758200536707193
"7","NN",3.44059958136946,31.5353874640247,5.27204011915764,0.381387167444038,0.0855121160221591,0.566247692033141
"8","RF",2.72077277091412,20.1004508147011,4.14421936640819,0.619340242986897,0.393333296155681,0.72585419811742
"9","CAT",2.52084910321149,16.6281120605391,3.70466675966625,0.705120557931869,0.241855277071473,0.789103917979478
"10","Two-Stage",2.81373581323529,21.0710399159118,4.23375768811765,0.470306689529412,0.153568270735294,0.742417986294118
